PreetKGillMP;;GreatBritain
DrRosena;;GreatBritain
EmilyThornberry;;GreatBritain
ShabanaMahmood;;GreatBritain
PatMFaddenMP;;GreatBritain
JennyChapman;;GreatBritain
PeterKyle;;GreatBritain
IanMurrayMP;;GreatBritain
JoStevensLabour;;GreatBritain
LouHaigh;;GreatBritain
JimfromOldham;;GreatBritain
LucyMPowell;;GreatBritain
WesStreeting;;GreatBritain
Ed_Miliband;;GreatBritain
JReynoldsMP;;GreatBritain
JonAshworth;;GreatBritain
NickTorfaenMP;;GreatBritain
LisaNandy;;GreatBritain
BPhillipsonMP;;GreatBritain
YvetteCooperMP;;GreatBritain
DavidLammy;;GreatBritain
RachelReevesMP;;GreatBritain
AnnelieseDodds;;GreatBritain
AngelaRayner;;GreatBritain
Keir_Starmer;;GreatBritain
JohnyMercerUK;;GreatBritain
AndrewMitchMP;;GreatBritain
TomTugendhat;;GreatBritain
RobertJenrick;;GreatBritain
VictoriaPrentis;;GreatBritain
JohnGlenUK;;GreatBritain
SimonHartMP;;GreatBritain
GregHands;;GreatBritain
LucyFrazerMP;;GreatBritain
MichelleDonelan;;GreatBritain
DavidDavisMP;;GreatBritain
ScotSecofState;;GreatBritain
CHHcalling;;GreatBritain
Mark_J_Harper;;GreatBritain
MichaelGove;;GreatBritain
ThereseCoffey;;GreatBritain
GrantShapps;;GreatBritain
GillianKeegan;;GreatBritain
KemiBadenoch;;GreatBritain
PennyMordaunt;;GreatBritain
MelJStride;;GreatBritain
SteveBarclay;;GreatBritain
OliverDowden;;GreatBritain
BWallaceMP;;GreatBritain
SuellaBraverman;;GreatBritain
JamesCleverly;;GreatBritain
Jeremy_Hunt;;GreatBritain
DominicRaab;;GreatBritain
RishiSunak;;GreatBritain
LindsayHoyle_MP;;GreatBritain
LordSpeaker;;GreatBritain
instituteGC;Институт Тони Блэра;GreatBritain
gaspo_sk;;Ukr
andrewPerpetua;;Ukr
